PartidaID,TorneioID,Jogo,Tipo_Partida,Lado_A_ID,Lado_B_ID,Score_A,Score_B,Vencedor_ID
P-0001,T-001,Volei,Equipe,C2B6-02FE,6FAA-365B,3,0,C2B6-02FE
P-0002,T-001,Volei,Equipe,CE84-8264,EE85-9FE4,3,0,CE84-8264
P-0003,T-001,Volei,Equipe,3EAB-7C6D,56CE-16D6,0,3,56CE-16D6
P-0004,T-001,Volei,Equipe,138E-AE58,4552-9326,3,0,138E-AE58
P-0005,T-001,Volei,Equipe,B408-E68A,CE84-8264,3,1,B408-E68A
P-0006,T-001,Volei,Equipe,3EAB-7C6D,F201-9A2F,2,3,F201-9A2F
P-0007,T-001,Volei,Equipe,B408-E68A,66F6-9AD1,3,2,B408-E68A
P-0008,T-001,Volei,Equipe,4552-9326,56CE-16D6,2,3,56CE-16D6
P-0009,T-001,Volei,Equipe,B408-E68A,CE84-8264,2,3,CE84-8264
P-0010,T-001,Volei,Equipe,B408-E68A,3EAB-7C6D,3,1,B408-E68A
P-0011,T-001,Volei,Equipe,56CE-16D6,CE84-8264,3,0,56CE-16D6
P-0012,T-001,Volei,Equipe,138E-AE58,6FAA-365B,3,1,138E-AE58
P-0013,T-001,Volei,Equipe,EE85-9FE4,788E-6633,3,0,EE85-9FE4
P-0014,T-001,Volei,Equipe,56CE-16D6,4552-9326,3,2,56CE-16D6
P-0015,T-001,Volei,Equipe,138E-AE58,B408-E68A,3,0,138E-AE58
P-0016,T-001,Volei,Equipe,CE84-8264,138E-AE58,2,3,138E-AE58
P-0017,T-001,Volei,Equipe,EE85-9FE4,CE84-8264,2,3,CE84-8264
P-0018,T-001,Volei,Equipe,F201-9A2F,0108-602F,3,0,F201-9A2F
P-0019,T-001,Volei,Equipe,66F6-9AD1,C2B6-02FE,1,3,C2B6-02FE
P-0020,T-001,Volei,Equipe,CE84-8264,3EAB-7C6D,3,0,CE84-8264
P-0021,T-001,Volei,Equipe,4552-9326,788E-6633,2,3,788E-6633
P-0022,T-001,Volei,Equipe,138E-AE58,29AF-A8E4,3,1,138E-AE58
P-0023,T-001,Volei,Equipe,B408-E68A,0108-602F,3,2,B408-E68A
P-0024,T-001,Volei,Equipe,29AF-A8E4,DEF4-6E97,3,1,29AF-A8E4
P-0025,T-001,Volei,Equipe,F201-9A2F,B408-E68A,3,0,F201-9A2F
P-0026,T-001,Volei,Equipe,CE84-8264,F201-9A2F,1,3,F201-9A2F
P-0027,T-001,Volei,Equipe,56CE-16D6,6FAA-365B,2,3,6FAA-365B
P-0028,T-001,Volei,Equipe,56CE-16D6,4552-9326,2,3,4552-9326
P-0029,T-001,Volei,Equipe,788E-6633,C2B6-02FE,1,3,C2B6-02FE
P-0030,T-001,Volei,Equipe,CE84-8264,C2B6-02FE,2,3,C2B6-02FE
P-0031,T-001,Volei,Equipe,788E-6633,6FAA-365B,1,3,6FAA-365B
P-0032,T-001,Volei,Equipe,138E-AE58,56CE-16D6,0,3,56CE-16D6
P-0033,T-001,Volei,Equipe,F201-9A2F,DEF4-6E97,1,3,DEF4-6E97
P-0034,T-001,Street Fighter,Individual,1B52-79CA-5552,E42C-92FD-D243,0,2,E42C-92FD-D243
P-0035,T-001,Street Fighter,Individual,1D36-EEED-C2A4,4202-1D71-45D3,0,2,4202-1D71-45D3
P-0036,T-001,Street Fighter,Individual,42C0-EE75-B626,42ED-A79C-FFE6,0,2,42ED-A79C-FFE6
P-0037,T-001,Street Fighter,Individual,E464-C1BF-C187,2CE4-93C5-3DD2,2,0,E464-C1BF-C187
P-0038,T-001,Street Fighter,Individual,F57F-5CFD-B75C,BA75-6D20-B987,1,2,BA75-6D20-B987
P-0039,T-001,Street Fighter,Individual,1B82-841A-999F,1D36-EEED-C2A4,1,2,1D36-EEED-C2A4
P-0040,T-001,Street Fighter,Individual,F330-8EE7-04D3,E464-C1BF-C187,2,0,F330-8EE7-04D3
P-0041,T-001,Street Fighter,Individual,30EF-471D-158C,6C47-7D1C-4074,2,0,30EF-471D-158C
P-0042,T-001,Street Fighter,Individual,E541-EF0D-8204,5946-7E1A-A627,1,2,5946-7E1A-A627
P-0043,T-001,Street Fighter,Individual,F330-8EE7-04D3,30EF-471D-158C,1,2,30EF-471D-158C
P-0044,T-001,Street Fighter,Individual,5946-7E1A-A627,69BC-70F7-564C,0,2,69BC-70F7-564C
P-0045,T-001,Street Fighter,Individual,1D36-EEED-C2A4,5946-7E1A-A627,2,0,1D36-EEED-C2A4
P-0046,T-001,Street Fighter,Individual,84B9-7C81-A0A8,4FAD-811C-F33C,2,0,84B9-7C81-A0A8
P-0047,T-001,Street Fighter,Individual,F330-8EE7-04D3,2CE4-93C5-3DD2,2,1,F330-8EE7-04D3
P-0048,T-001,Street Fighter,Individual,E541-EF0D-8204,69BC-70F7-564C,2,1,E541-EF0D-8204
P-0049,T-001,Street Fighter,Individual,A161-9DCB-D997,1B52-79CA-5552,0,2,1B52-79CA-5552
P-0050,T-001,Street Fighter,Individual,A161-9DCB-D997,FE45-3C20-4A77,2,0,A161-9DCB-D997
P-0051,T-001,Street Fighter,Individual,FC47-0E10-3879,84B9-7C81-A0A8,2,0,FC47-0E10-3879
P-0052,T-001,Street Fighter,Individual,E541-EF0D-8204,84B9-7C81-A0A8,2,1,E541-EF0D-8204
P-0053,T-001,Street Fighter,Individual,FE45-3C20-4A77,6432-FE88-5C8E,2,0,FE45-3C20-4A77
P-0054,T-001,Street Fighter,Individual,E793-31D0-0655,6432-FE88-5C8E,1,2,6432-FE88-5C8E
P-0055,T-001,Street Fighter,Individual,1253-BF8A-5B80,D122-F09F-2E21,1,2,D122-F09F-2E21
P-0056,T-001,Street Fighter,Individual,4FAD-811C-F33C,1253-BF8A-5B80,2,0,4FAD-811C-F33C
P-0057,T-001,Street Fighter,Individual,84B9-7C81-A0A8,CA70-EDCF-B6F9,2,1,84B9-7C81-A0A8
